,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
3,0,2,1,0,1,Enhancement,4.0,12.0,4.0,overestimated
4,0,4,1,0,1,Sub-task,2.0,12.0,6.0,overestimated
5,0,4,3,1,2,Bug,2.0,12.0,0.6666666666666666,overestimated
10,0,8,0,0,0,Enhancement,2.0,28.0,1.0,overestimated
14,2,3,1,1,0,Feature Request,2.0,7.0,0.6666666666666666,overestimated
16,0,7,3,3,0,Feature Request,2.0,18.0,1.3333333333333333,overestimated
20,0,7,0,0,0,Bug,2.0,6.0,0.5,overestimated
21,0,11,3,2,1,Enhancement,2.0,16.0,0.5,overestimated
30,0,1,0,0,0,Bug,2.0,2.0,0.6666666666666666,overestimated
32,0,1,0,0,0,Bug,2.0,3.0,0.6666666666666666,overestimated
35,0,6,0,0,0,Enhancement,3.0,7.0,3.0,overestimated
46,0,1,0,0,0,Bug,2.0,4.0,0.6666666666666666,overestimated
48,0,1,0,0,0,Bug,2.0,8.0,2.0,overestimated
53,0,3,0,0,0,Enhancement,2.0,9.0,2.2857142857142856,overestimated
65,0,14,1,0,1,Task,1.0,29.0,0.38095238095238093,overestimated
67,0,0,2,0,2,Task,2.0,29.0,7.0,overestimated
68,0,3,2,0,2,Task,2.0,15.0,11.0,overestimated
69,0,3,0,0,0,Task,2.0,6.0,7.0,overestimated
70,0,14,4,0,4,Bug,3.0,38.0,7.0,overestimated
73,0,3,1,0,1,Task,2.0,8.0,1.0,overestimated
75,0,6,0,0,0,Feature Request,2.0,11.0,5.0,overestimated
76,0,7,1,0,1,Feature Request,2.0,19.0,7.0,overestimated
78,0,0,0,0,0,Story,-1.0,7.0,0.18181818181818182,overestimated
84,0,1,0,0,0,Sub-task,2.0,10.0,1.0,overestimated
85,0,1,0,0,0,Sub-task,2.0,8.0,0.3333333333333333,overestimated
88,3,1,0,0,0,Task,2.0,6.0,3.0,overestimated
91,0,2,1,1,0,Bug,2.0,16.0,10.0,overestimated
92,0,8,1,1,0,Bug,2.0,15.0,3.0,overestimated
96,0,4,0,0,0,Bug,3.0,11.0,2.0,overestimated
97,1,9,1,1,0,Task,2.0,36.0,0.4666666666666667,overestimated
99,0,6,2,0,2,Bug,3.0,15.0,8.666666666666666,overestimated
100,0,6,0,0,0,Bug,3.0,23.0,1.0,overestimated
101,0,10,1,1,0,Bug,4.0,32.0,95.0,overestimated
102,0,1,0,0,0,Task,3.0,18.0,3.3333333333333335,overestimated
104,0,1,0,0,0,Feature Request,2.0,26.0,11.333333333333334,overestimated
106,0,4,1,1,0,Task,3.0,11.0,3.0,overestimated
109,0,1,0,0,0,Bug,4.0,5.0,1.5,overestimated
110,0,7,0,0,0,Task,2.0,9.0,1.6666666666666667,overestimated
112,0,3,14,0,14,Task,2.0,78.0,2.0,overestimated
113,0,5,0,0,0,Feature Request,2.0,9.0,1.0,overestimated
121,0,10,1,1,0,Bug,1.0,29.0,0.6666666666666666,overestimated
122,0,9,0,0,0,Bug,0.0,8.0,1.0,overestimated
124,0,16,3,2,1,Component Upgrade,0.0,46.0,3.0,overestimated
125,0,6,0,0,0,Task,2.0,4.0,3.0,overestimated
128,0,10,1,1,0,Bug,1.0,15.0,2.0,overestimated
130,2,19,1,1,0,Task,2.0,48.0,1.2,overestimated
132,0,2,4,3,1,Bug,3.0,42.0,2.0,overestimated
134,0,22,1,0,1,Bug,2.0,20.0,2.0,overestimated
136,0,11,0,0,0,Bug,0.0,17.0,2.0,overestimated
137,0,3,0,0,0,Task,1.0,13.0,19.0,overestimated
138,0,1,1,0,1,Task,2.0,7.0,3.0,overestimated
139,0,5,0,0,0,Bug,2.0,12.0,22.0,overestimated
140,0,4,0,0,0,Task,3.0,7.0,3.3333333333333335,overestimated
142,0,1,0,0,0,Task,2.0,9.0,14.0,overestimated
144,0,12,2,1,1,Task,1.0,22.0,1.0,overestimated
146,0,1,2,1,1,Bug,2.0,15.0,2.0,overestimated
153,0,1,2,0,2,Bug,2.0,21.0,7.0,overestimated
155,0,1,3,2,1,Bug,1.0,22.0,1.0,overestimated
162,0,4,1,1,0,Bug,2.0,19.0,2.0,overestimated
171,0,3,0,0,0,Task,4.0,9.0,46.0,overestimated
172,0,4,0,0,0,Task,2.0,5.0,0.8571428571428571,overestimated
176,5,13,2,0,2,Task,2.0,16.0,16.823529411764707,overestimated
177,0,10,0,0,0,Task,2.0,16.0,8.0,overestimated
178,0,1,1,1,0,Bug,2.0,14.0,14.0,overestimated
180,0,5,0,0,0,Task,3.0,26.0,18.0,overestimated
186,0,1,0,0,0,Bug,2.0,2.0,6.0,overestimated
187,6,4,3,1,2,Task,1.0,19.0,3.0,overestimated
190,0,6,0,0,0,Task,3.0,4.0,3.0,overestimated
191,0,3,0,0,0,Bug,2.0,9.0,14.0,overestimated
197,0,2,1,1,0,Bug,2.0,8.0,239.0,overestimated
204,0,1,0,0,0,Bug,2.0,10.0,1.0,overestimated
208,0,2,0,0,0,Task,1.0,21.0,0.2222222222222222,overestimated
209,0,3,2,2,0,Task,2.0,34.0,1.0,overestimated
211,0,1,0,0,0,Bug,1.0,20.0,2.0,overestimated
212,0,2,0,0,0,Task,2.0,13.0,2.0,overestimated
214,0,8,0,0,0,Bug,2.0,22.0,0.6666666666666666,overestimated
218,0,7,0,0,0,Bug,2.0,28.0,1.0,overestimated
219,0,5,0,0,0,Bug,2.0,18.0,2.8,overestimated
221,0,5,0,0,0,Enhancement,2.0,28.0,0.9090909090909091,overestimated
222,0,1,0,0,0,Bug,3.0,21.0,2.0,overestimated
223,0,7,0,0,0,Bug,2.0,21.0,14.0,overestimated
224,0,1,0,0,0,Bug,2.0,20.0,6.0,overestimated
225,0,3,0,0,0,Bug,2.0,26.0,14.0,overestimated
227,0,1,0,0,0,Enhancement,2.0,13.0,2.2666666666666666,overestimated
228,0,5,1,1,0,Technical task,2.0,17.0,2.923076923076923,overestimated
229,1,0,0,0,0,Bug,2.0,12.0,1.6923076923076923,overestimated
230,3,6,1,1,0,Enhancement,2.0,11.0,2.5714285714285716,overestimated
231,1,5,0,0,0,Bug,2.0,16.0,0.08695652173913043,overestimated
232,1,2,0,0,0,Bug,2.0,8.0,8.666666666666666,overestimated
233,1,1,0,0,0,Enhancement,3.0,17.0,0.18181818181818182,overestimated
234,1,0,0,0,0,Enhancement,3.0,16.0,2.4285714285714284,overestimated
236,0,0,0,0,0,Bug,2.0,12.0,6.0,overestimated
240,0,1,0,0,0,Enhancement,1.0,12.0,3.3333333333333335,overestimated
246,0,0,0,0,0,Task,2.0,17.0,479.0,overestimated
247,0,0,0,0,0,Enhancement,2.0,16.0,2.0,overestimated
248,0,7,0,0,0,Enhancement,2.0,31.0,0.5,overestimated
250,0,8,0,0,0,Bug,2.0,23.0,2.0,overestimated
251,0,4,0,0,0,Enhancement,2.0,26.0,2.0,overestimated
255,0,4,0,0,0,Task,2.0,9.0,1.0,overestimated
261,0,0,1,1,0,Task,2.0,14.0,11.714285714285714,overestimated
264,0,2,0,0,0,Task,2.0,7.0,0.6666666666666666,overestimated
266,0,1,0,0,0,Task,2.0,13.0,2.0,overestimated
267,0,0,2,1,1,Task,2.0,20.0,0.5,overestimated
272,0,0,2,1,1,Task,2.0,23.0,8.0,overestimated
283,0,1,2,2,0,Task,2.0,9.0,0.6666666666666666,overestimated
291,0,6,1,0,1,Task,2.0,28.0,2.0,overestimated
292,0,0,1,0,1,Task,1.0,9.0,1.0,overestimated
293,0,4,0,0,0,Task,2.0,13.0,6.0,overestimated
294,0,7,1,1,0,Enhancement,2.0,21.0,11.333333333333334,overestimated
296,0,14,2,2,0,Bug,0.0,32.0,2.0,overestimated
297,0,9,0,0,0,Feature Request,2.0,36.0,15.0,overestimated
306,3,2,0,0,0,Bug,0.0,13.0,3.0,overestimated
307,2,1,0,0,0,Bug,2.0,10.0,0.6666666666666666,overestimated
311,2,1,0,0,0,Bug,0.0,30.0,2.0,overestimated
315,0,2,0,0,0,Bug,0.0,19.0,2.0,overestimated
321,3,0,0,0,0,Bug,2.0,13.0,0.5,overestimated
325,0,1,0,0,0,Feature Request,2.0,37.0,0.9941291585127201,overestimated
329,0,3,1,1,0,Task,2.0,23.0,2.0,overestimated
336,0,8,0,0,0,Task,2.0,22.0,1.0,overestimated
341,0,7,2,1,1,Enhancement,2.0,20.0,6.0,overestimated
342,0,0,0,0,0,Enhancement,2.0,18.0,2.0,overestimated
348,0,5,0,0,0,Task,2.0,15.0,0.6666666666666666,overestimated
352,0,5,0,0,0,Task,2.0,14.0,2.0,overestimated
359,0,0,1,1,0,Task,2.0,26.0,0.18181818181818182,overestimated
363,0,5,0,0,0,Task,2.0,17.0,1.0,overestimated
365,0,1,0,0,0,Task,2.0,11.0,2.0,overestimated
367,0,2,0,0,0,Task,2.0,14.0,2.0,overestimated
369,0,5,2,1,1,Task,2.0,24.0,6.0,overestimated
373,0,2,0,0,0,Task,2.0,11.0,0.9752066115702479,overestimated
380,0,1,1,0,1,Task,1.0,10.0,2399.0,overestimated
384,0,0,0,0,0,Sub-task,2.0,4.0,4.0,overestimated
386,0,3,0,0,0,Publishing Support,2.0,4.0,0.5,overestimated
392,0,2,0,0,0,Bug,2.0,9.0,1.0,overestimated
393,0,0,0,0,0,Sub-task,2.0,11.0,0.926829268292683,overestimated
398,0,4,0,0,0,Bug,2.0,15.0,0.42857142857142855,overestimated
401,0,1,0,0,0,Sub-task,2.0,14.0,1.3644859813084111,overestimated
402,0,7,0,0,0,Bug,0.0,27.0,13.517241379310345,overestimated
407,0,3,0,0,0,Improvement,2.0,18.0,4.315789473684211,overestimated
410,0,1,0,0,0,Sub-task,2.0,17.0,0.5531914893617021,overestimated
413,0,2,0,0,0,Bug,2.0,15.0,1.75,overestimated
414,0,2,0,0,0,Improvement,2.0,14.0,0.4,overestimated
415,0,1,0,0,0,Bug,0.0,9.0,0.5,overestimated
