,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
0,0,0,0,0,0,Sub-task,0.0,28.0,-0.6666666666666666,underestimated
1,0,2,0,0,0,Task,2.0,8.0,-0.01639344262295082,underestimated
2,0,1,1,0,1,Bug,2.0,10.0,-0.6666666666666666,underestimated
3,0,2,1,0,1,Enhancement,4.0,12.0,4.0,overestimated
4,0,4,1,0,1,Sub-task,2.0,12.0,6.0,overestimated
5,0,4,3,1,2,Bug,2.0,12.0,0.6666666666666666,overestimated
6,0,4,2,1,1,Bug,3.0,7.0,-0.6666666666666666,underestimated
7,0,4,2,0,2,Bug,2.0,12.0,-0.8571428571428571,underestimated
9,0,8,1,1,0,Task,2.0,45.0,-0.75,underestimated
10,0,8,0,0,0,Enhancement,2.0,28.0,1.0,overestimated
11,0,1,0,0,0,Bug,2.0,6.0,-0.6666666666666666,underestimated
12,0,1,0,0,0,Sub-task,2.0,4.0,-0.8,underestimated
13,0,1,1,0,1,Bug,2.0,6.0,-0.5,underestimated
14,2,3,1,1,0,Feature Request,2.0,7.0,0.6666666666666666,overestimated
15,0,1,0,0,0,Feature Request,2.0,7.0,-0.5,underestimated
16,0,7,3,3,0,Feature Request,2.0,18.0,1.3333333333333333,overestimated
17,0,1,0,0,0,Task,2.0,3.0,-0.6666666666666666,underestimated
18,0,0,0,0,0,Enhancement,2.0,7.0,-0.6666666666666666,underestimated
19,0,4,2,2,0,Bug,2.0,6.0,-0.5,underestimated
20,0,7,0,0,0,Bug,2.0,6.0,0.5,overestimated
21,0,11,3,2,1,Enhancement,2.0,16.0,0.5,overestimated
22,0,8,1,1,0,Sub-task,2.0,8.0,-0.8461538461538461,underestimated
23,0,2,0,0,0,Bug,2.0,6.0,-0.75,underestimated
24,0,2,1,1,0,Feature Request,2.0,9.0,-0.6666666666666666,underestimated
25,0,4,0,0,0,Bug,2.0,7.0,-0.6666666666666666,underestimated
26,0,1,1,0,1,Bug,2.0,6.0,-0.8,underestimated
27,0,2,0,0,0,Bug,1.0,3.0,-0.5,underestimated
28,0,1,0,0,0,Bug,2.0,3.0,-0.6666666666666666,underestimated
29,0,1,2,0,2,Bug,2.0,5.0,-0.5,underestimated
30,0,1,0,0,0,Bug,2.0,2.0,0.6666666666666666,overestimated
31,0,3,0,0,0,Bug,1.0,5.0,-0.6666666666666666,underestimated
32,0,1,0,0,0,Bug,2.0,3.0,0.6666666666666666,overestimated
34,0,1,0,0,0,Bug,2.0,3.0,-0.6666666666666666,underestimated
35,0,6,0,0,0,Enhancement,3.0,7.0,3.0,overestimated
37,0,18,0,0,0,Bug,2.0,6.0,-0.6666666666666666,underestimated
39,0,1,1,1,0,Quality Risk,2.0,7.0,-0.4,underestimated
40,0,3,0,0,0,Bug,2.0,3.0,-0.4,underestimated
41,0,2,1,0,1,Bug,2.0,9.0,-0.5,underestimated
42,0,3,0,0,0,Bug,1.0,4.0,-0.6666666666666666,underestimated
43,0,1,0,0,0,Bug,2.0,5.0,-0.6666666666666666,underestimated
44,0,3,0,0,0,Bug,0.0,5.0,-0.6666666666666666,underestimated
45,0,1,0,0,0,Bug,2.0,2.0,-0.6666666666666666,underestimated
46,0,1,0,0,0,Bug,2.0,4.0,0.6666666666666666,overestimated
48,0,1,0,0,0,Bug,2.0,8.0,2.0,overestimated
49,0,5,2,2,0,Quality Risk,2.0,9.0,-0.4,underestimated
50,0,2,2,0,2,Bug,2.0,13.0,-0.6666666666666666,underestimated
51,0,1,1,0,1,Bug,2.0,5.0,-0.6666666666666666,underestimated
52,0,4,1,0,1,Bug,2.0,9.0,-0.8571428571428571,underestimated
53,0,3,0,0,0,Enhancement,2.0,9.0,2.2857142857142856,overestimated
54,0,1,0,0,0,Task,2.0,11.0,-0.6666666666666666,underestimated
55,0,1,0,0,0,Task,2.0,5.0,-0.5,underestimated
56,0,3,0,0,0,Task,2.0,9.0,-0.8571428571428571,underestimated
58,0,5,2,1,1,Quality Risk,2.0,7.0,-0.5,underestimated
59,0,1,0,0,0,Bug,3.0,3.0,-0.6666666666666666,underestimated
60,0,11,0,0,0,Sub-task,2.0,13.0,-0.9333333333333333,underestimated
