,subtasks,comments,issue_link_count,outward_count,inward_count,issue_type,priority,log_change_count,estimation_error,estimate_class
0,0,0,0,0,0,Sub-task,0.0,28.0,-0.6666666666666666,underestimated
1,0,2,0,0,0,Task,2.0,8.0,-0.01639344262295082,underestimated
2,0,1,1,0,1,Bug,2.0,10.0,-0.6666666666666666,underestimated
6,0,4,2,1,1,Bug,3.0,7.0,-0.6666666666666666,underestimated
7,0,4,2,0,2,Bug,2.0,12.0,-0.8571428571428571,underestimated
9,0,8,1,1,0,Task,2.0,45.0,-0.75,underestimated
11,0,1,0,0,0,Bug,2.0,6.0,-0.6666666666666666,underestimated
12,0,1,0,0,0,Sub-task,2.0,4.0,-0.8,underestimated
13,0,1,1,0,1,Bug,2.0,6.0,-0.5,underestimated
15,0,1,0,0,0,Feature Request,2.0,7.0,-0.5,underestimated
17,0,1,0,0,0,Task,2.0,3.0,-0.6666666666666666,underestimated
18,0,0,0,0,0,Enhancement,2.0,7.0,-0.6666666666666666,underestimated
19,0,4,2,2,0,Bug,2.0,6.0,-0.5,underestimated
22,0,8,1,1,0,Sub-task,2.0,8.0,-0.8461538461538461,underestimated
23,0,2,0,0,0,Bug,2.0,6.0,-0.75,underestimated
24,0,2,1,1,0,Feature Request,2.0,9.0,-0.6666666666666666,underestimated
25,0,4,0,0,0,Bug,2.0,7.0,-0.6666666666666666,underestimated
26,0,1,1,0,1,Bug,2.0,6.0,-0.8,underestimated
27,0,2,0,0,0,Bug,1.0,3.0,-0.5,underestimated
28,0,1,0,0,0,Bug,2.0,3.0,-0.6666666666666666,underestimated
29,0,1,2,0,2,Bug,2.0,5.0,-0.5,underestimated
31,0,3,0,0,0,Bug,1.0,5.0,-0.6666666666666666,underestimated
34,0,1,0,0,0,Bug,2.0,3.0,-0.6666666666666666,underestimated
37,0,18,0,0,0,Bug,2.0,6.0,-0.6666666666666666,underestimated
39,0,1,1,1,0,Quality Risk,2.0,7.0,-0.4,underestimated
40,0,3,0,0,0,Bug,2.0,3.0,-0.4,underestimated
41,0,2,1,0,1,Bug,2.0,9.0,-0.5,underestimated
42,0,3,0,0,0,Bug,1.0,4.0,-0.6666666666666666,underestimated
43,0,1,0,0,0,Bug,2.0,5.0,-0.6666666666666666,underestimated
44,0,3,0,0,0,Bug,0.0,5.0,-0.6666666666666666,underestimated
45,0,1,0,0,0,Bug,2.0,2.0,-0.6666666666666666,underestimated
49,0,5,2,2,0,Quality Risk,2.0,9.0,-0.4,underestimated
50,0,2,2,0,2,Bug,2.0,13.0,-0.6666666666666666,underestimated
51,0,1,1,0,1,Bug,2.0,5.0,-0.6666666666666666,underestimated
52,0,4,1,0,1,Bug,2.0,9.0,-0.8571428571428571,underestimated
54,0,1,0,0,0,Task,2.0,11.0,-0.6666666666666666,underestimated
55,0,1,0,0,0,Task,2.0,5.0,-0.5,underestimated
56,0,3,0,0,0,Task,2.0,9.0,-0.8571428571428571,underestimated
58,0,5,2,1,1,Quality Risk,2.0,7.0,-0.5,underestimated
59,0,1,0,0,0,Bug,3.0,3.0,-0.6666666666666666,underestimated
60,0,11,0,0,0,Sub-task,2.0,13.0,-0.9333333333333333,underestimated
61,0,4,0,0,0,Quality Risk,2.0,11.0,-0.6666666666666666,underestimated
62,0,1,0,0,0,Enhancement,3.0,6.0,-0.75,underestimated
64,0,14,1,0,1,Sub-task,2.0,27.0,-0.3333333333333333,underestimated
66,0,0,1,0,1,Story,-1.0,12.0,-0.16666666666666666,underestimated
72,4,7,1,1,0,Task,2.0,19.0,-0.3333333333333333,underestimated
74,0,6,4,0,4,Feature Request,2.0,36.0,-0.6666666666666666,underestimated
77,0,0,3,1,2,Bug,3.0,20.0,-0.5,underestimated
79,0,0,0,0,0,Story,2.0,11.0,-0.2857142857142857,underestimated
80,0,0,0,0,0,Story,2.0,13.0,-0.5,underestimated
81,0,0,0,0,0,Story,2.0,14.0,-0.8571428571428571,underestimated
82,1,0,0,0,0,Story,2.0,20.0,-0.8571428571428571,underestimated
83,0,0,0,0,0,Task,2.0,22.0,-0.8235294117647058,underestimated
89,0,0,1,0,1,Feature Request,3.0,12.0,-0.6666666666666666,underestimated
