Features,EntropyScore
log_change_count,0.44559048712364785
comments,0.2489381236932508
priority,0.07193634095367325
issue_link_count,0.03400254521467145
issue_type_Improvement,0.02808132041879431
outward_count,0.025453820706110634
inward_count,0.024984858574613696
subtasks,0.02429254127841003
issue_type_Task,0.02030416538161757
issue_type_Sub-task,0.016216371274082236
issue_type_New Feature,0.013562929720877913
issue_type_Story,0.006953402981330668
issue_type_Enhancement,0.006942310028642818
issue_type_Defect,0.006473450468585721
issue_type_Feature Request,0.006318012975223355
